Producto,Precio,Precio envio,Tienda,Fecha,precio_clp,precio final
"100 PCS MACETAS DE VIVERO DE PLANTAS, MACETAS DE 10 CM PARA PLÁNTULAS DE PLANTAS PEQUEÑAS CON ETIQUETAS, MACETAS DE PLÁSTICO PARA FLORES DE PLANTAS CON AGUJEROS DE DRENAJE PARA INTERIOR Y",8564,"Entrega por CLP 13,177 el mié, 25 de feb",Amazon,11-02-2026,13177,21741
"T4U PAQUETE DE 5 MACETAS DE RIEGO AUTOMÁTICO (6 + 8 + 9 + 10 + 12 PULGADAS) – INDICADOR DE NIVEL DE AGUA Y DEPÓSITO PROFUNDO, MACETAS SIN DESORDEN PARA PERSONAS OCUPADAS, PRINCIPIANTES Y JARDINEROS",26868,"Entrega por CLP 26,859 el mié, 25 de feb",Amazon,11-02-2026,26859,53727
"QCQHDU MACETA DE 8 PULGADAS, PAQUETE DE 2 MACETAS PARA PLANTAS DE INTERIOR CON AGUJEROS DE DRENAJE Y PLATILLO, MACETAS PARA EXTERIORES, DECORACIÓN MODERNA PARA EL HOGAR Y EL JARDÍN",14566,"Entrega por CLP 18,706 el vie, 27 de feb",Amazon,11-02-2026,18706,33272
"MACETAS GRANDES DE RIEGO AUTOMÁTICO DE 12 PULGADAS, 10 PULGADAS, 9 PULGADAS, PAQUETE DE 3 MACETAS CON MÚLTIPLES AGUJEROS DE DRENAJE DE MALLA PARA PLANTAS Y FLORES DE JARDÍN DE INTERIORES Y",24845,"Entrega por CLP 27,348 el mié, 25 de feb",Amazon,11-02-2026,27348,52193
"-MACETAS DE RIEGO AUTOMÁTICO PARA INTERIORES CON AGUJEROS DE DRENAJE Y PLATILLOS, 8, 7, 6.5, 6, 5.5, 5 PULGADAS, COLOR NEGRO, 6 MACETAS",17129,"Entrega por CLP 18,286 el mié, 25 de feb",Amazon,11-02-2026,18286,35415
UTOPIA HOME MACETAS PARA PLANTAS DE INTERIOR CON AGUJEROS DE DRENAJE – JUEGO DE 5 MACETAS DE FLORES DE PLÁSTICO BLANCO (7/6.6/6/5.3/4.8 PULGADAS) – MACETAS MODERNAS PARA PLANTAS DE INTERIOR,11136,"Entrega por CLP 16,100 el vie, 27 de feb",Amazon,11-02-2026,16100,27236
"KANTE - MACETA REDONDA DE HORMIGÓN DESGASTADO DE 18 PULGADAS DE DIÁMETRO, MACETA GRANDE PARA INTERIORES Y EXTERIORES CON AGUJERO DE DRENAJE Y TAPÓN DE GOMA PARA PATIO Y JARDÍN DEL HOGAR, HORMIGÓN",58288,"Entrega por CLP 141,926 entre el 23 de feb - 11 de mar",Amazon,11-02-2026,141926,200214
"JUEGO DE 20 MACETAS DE VIVERO TRANSPARENTES DE 10/12,7/15,2/17,8 CM CON PLATILLOS, MACETAS DE PLÁSTICO CON AGUJEROS DE DRENAJE, PAQUETE VARIADO DE MACETAS DE JARDÍN PARA PLÁNTULAS PARA",17995,"Entrega por CLP 16,812 el mié, 25 de feb",Amazon,11-02-2026,16812,34807
"MACETAS CON AUTORRIEGO PARA INTERIOR CON ORIFICIOS DE DRENAJE Y PLATILLOS, 8, 7, 6.5, 6, 5.5, 5 PULGADAS, VERDE, 6 MACETAS.",17120,"Entrega por CLP 18,158 el mié, 25 de feb",Amazon,11-02-2026,18158,35278
"GEPEGE JUEGO DE 2 MACETAS DE CERÁMICA CON CUENTAS DE 6 PULGADAS CON ORIFICIO DE DRENAJE Y PLATILLO PARA PLANTAS, MACETA REDONDA GRANDE PARA ORQUÍDEAS SUCULENTAS PARA INTERIORES Y EXTERIORES, COLOR",21424,"Entrega por CLP 20,858 el jue, 26 de feb",Amazon,11-02-2026,20858,42282
"MELPHOE MACETAS DE INTERIOR CON DRENAJE Y PLATILLO, JUEGO DE 2 MACETAS DE 8 PULGADAS PARA PLANTAS DE INTERIOR Y EXTERIOR, MACETAS PARA JARDÍN Y HOGAR, PARA CACTUS Y SUCULENTAS, PLÁSTICO RÍGIDO",14566,"Entrega por CLP 18,012 el mié, 25 de feb",Amazon,11-02-2026,18012,32578
"MACETAS GRANDES DE 12 PULGADAS, MACETAS DE PLÁSTICO CON AGUJEROS DE DRENAJE Y PLATILLOS, MACETAS PARA PLANTAS DE INTERIOR Y EXTERIOR, MACETAS DECORATIVAS MODERNAS PARA PLANTAS DE CASA DE",19452,"Entrega por CLP 26,713 el mié, 25 de feb",Amazon,11-02-2026,26713,46165
"PAQUETE DE 4 MACETAS GRANDES DE 16 PULGADAS, MACETA DE PLÁSTICO PARA INTERIORES Y EXTERIORES CON AGUJEROS DE DRENAJE Y PLATILLO, MACETAS CON PATRÓN A CUADROS, MACETAS DE JARDÍN PARA HIERBAS",48858,"Entrega por CLP 61,177 el vie, 27 de feb",Amazon,11-02-2026,61177,110035
"PLANTA DE PLÁSTICO DE 8 PULGADAS, PAQUETE DE 4 CON AGUJEROS DE DRENAJE Y PLATILLOS, MACETAS DECORATIVAS DE ONDAS DE AGUA PARA PLANTAS DE INTERIOR Y EXTERIOR, PATIO, JARDÍN, DECORACIÓN DEL",18852,"Entrega por CLP 19,512 entre el 20 de feb - 4 de mar",Amazon,11-02-2026,19512,38364
"MACETAS DE 6 PULGADAS, PAQUETE DE 5 MACETAS PARA EXTERIORES E INTERIORES, MACETAS CON AGUJEROS DE DRENAJE Y PLATILLOS DE BANDEJA (MULTICOLOR)",13828,"Entrega por CLP 15,731 el mié, 25 de feb",Amazon,11-02-2026,15731,29559
"MACETAS DE RIEGO AUTOMÁTICO DE 8/10/12 PULGADAS PARA PLANTAS DE INTERIOR/EXTERIOR - MACETA GRANDE DE PLÁSTICO CON AGUJEROS DE DRENAJE, INDICADOR DE NIVEL DE AGUA Y RESERVORIO PROFUNDO",24853,"Entrega por CLP 25,402 el mié, 25 de feb",Amazon,11-02-2026,25402,50255
"-MACETAS DE RIEGO AUTOMÁTICO PARA INTERIORES CON AGUJEROS DE DRENAJE Y PLATILLOS, 8, 7, 6.5, 6, 5.5, 5 PULGADAS, COLOR BLANCO, 6 MACETAS",17129,"Entrega por CLP 18,072 el mié, 25 de feb",Amazon,11-02-2026,18072,35201
"MACETAS DE 12/10/8 PULGADAS CON RIEGO AUTOMÁTICO PARA PLANTAS DE INTERIOR, MACETA GRANDE DE PLÁSTICO PARA PLANTAS DE EXTERIOR, MACETA DE FLORES CON VENTANA DE NIVEL DE AGUA Y ESPACIOSO RESERVORIO",23996,"Entrega por CLP 26,765 el mié, 25 de feb",Amazon,11-02-2026,26765,50761
"MACETAS PEQUEÑAS DE PLÁSTICO DE 4 PULGADAS, MACETAS DE PLÁNTULAS, JUEGO DE 5 MACETAS DE ONDAS DE AGUA PARA PLANTAS DE INTERIOR, MACETAS CON AGUJEROS DE DRENAJE Y PLATILLOS, MACETAS DE INICIO",7707,"Entrega por CLP 11,822 el mié, 25 de feb",Amazon,11-02-2026,11822,19529
"MACETA DE 6 PULGADAS DE PHOENIX VINE CON AGUJERO DE DRENAJE Y PLATILLO, BANDEJA PROFUNDA DE RECOLECCIÓN DE AGUA, MACETA CILÍNDRICA RECTA REDONDA PARA PLANTAS, BLANCO MATE, PAQUETE DE 1, 23-B-S-1",16280,"Entrega por CLP 15,457 el jue, 26 de feb",Amazon,11-02-2026,15457,31737
CREATIVE CO-OP - MACETA GRANDE DE CERÁMICA BLANCA MATE CON RELIEVE,84864,"Entrega por CLP 61,854 el jue, 26 de feb",Amazon,11-02-2026,61854,146718
"USOCIK PAQUETE DE 4 MACETAS RETRO DE 10 PULGADAS, MACETAS VINTAGE A RAYAS CON ORIFICIO DE DRENAJE Y PLATILLO, MACETAS GRANDES DE PLÁSTICO PARA PLANTAS DE INTERIOR Y EXTERIOR, MACETAS DECORATIVAS DE",18852,"Entrega por CLP 21,064 el mié, 25 de feb",Amazon,11-02-2026,21064,39916
"KETER JUEGO DE 2 MACETAS DE RESINA MODERNAS PARA EXTERIORES DE 22 PULGADAS DE ALTO, MACETAS DE ASPECTO DE MADERA CÓNICA PARA PLANTAS AL AIRE LIBRE Y DECORACIÓN DE PORCHE DELANTERO, GRAFITO",42848,"Entrega por CLP 138,282 el vie, 27 de feb",Amazon,11-02-2026,138282,181130
"JUEGO DE 3 MACETAS DE CERÁMICA DE 6.75/5.6/4.2 PULGADAS CON AGUJEROS DE DRENAJE Y PLATILLO, MACETA PARA EXTERIORES E INTERIORES, MACETAS DECORATIVAS MODERNAS PARA PLANTAS DE CASA, JARDÍN",17137,"Entrega por CLP 18,929 el mié, 25 de feb",Amazon,11-02-2026,18929,36066
"MACETA DE CERÁMICA CON ORIFICIO DE DRENAJE Y PLATILLO, REDONDA, ESMALTADA, MODERNA, PARA SUCULENTAS, LENGUA DE SUEGRA (SANSEVIERIA), PLANTAS DE INTERIOR Y EXTERIOR, 6 PULGADAS",13828,"Entrega por CLP 16,614 el mié, 25 de feb",Amazon,11-02-2026,16614,30442
"PAQUETE DE 10 MACETAS DE 6 PULGADAS CON DRENAJE Y PLATILLOS, MACETAS DE PLÁSTICO NEGRO PARA PLANTAS DE INTERIOR Y EXTERIOR, MACETAS APILABLES PARA PLANTAS DE INTERIOR Y HIERBAS, COLOR NEGRO",14651,"Entrega por CLP 15,106 el jue, 26 de feb",Amazon,11-02-2026,15106,29757
"ORCELER MACETAS DE TERRACOTA Y ARCILLA DE 6 PULGADAS PARA PLANTAS CON PLATILLO, MACETAS MEDIANAS DE TERRACOTA CON ORIFICIO DE DRENAJE, MACETA CON BANDEJA, MACETA DE TERRACOTA PARA PLANTAS DE INTERIOR",16340,"Entrega por CLP 23,276 el mié, 25 de feb",Amazon,11-02-2026,23276,39616
"DEECOO JUEGO DE 3 MACETAS DE CERÁMICA PARA INTERIORES CON AGUJEROS DE DRENAJE, 5.7/4.7/3.5/PULGADAS, MACETAS DECORATIVAS MODERNAS PARA PLANTAS AL AIRE LIBRE, LIRIOS, CACTUS, SUCULENTAS, SERPIENTES Y",16280,"Entrega por CLP 27,065 el mié, 25 de feb",Amazon,11-02-2026,27065,43345
"MACETAS WEICHENGXING, 12/10/9/8/ PULGADAS GRANDES MACETAS DE PLÁSTICO AUTO-RIEGO PARA PLANTAS DE INTERIOR Y EXTERIOR CON AGUJEROS DE DRENAJE, DEPÓSITO PROFUNDO, MACETA DE PLANTACIÓN PARA VIVERO PARA",28282,"Entrega por CLP 27,279 el mié, 25 de feb",Amazon,11-02-2026,27279,55561
"RAOOKIF PAQUETE DE 100 MACETAS DE GUARDERÍA, MACETAS DE 4, 5 Y 6 PULGADAS PARA PLANTAS, MACETAS DE PLÁSTICO CON AGUJEROS DE DRENAJE, MACETAS DE JARDÍN PARA TRASPLANTAR, SUCULENTAS, ESQUEJES, PLÁNTULAS",8564,"Entrega por CLP 12,688 entre el 23 de feb - 2 de mar",Amazon,11-02-2026,12688,21252
"MACETAS DE CERÁMICA TOSCANA, MACETAS VINTAGE DE 6.11 PULGADAS CON ORIFICIO DE DRENAJE PARA PLANTAS DE INTERIOR, JARRÓN VERDE DE GRANJA Y MACETAS, DECORACIÓN DEL HOGAR, COCINA, JARDÍN",19709,"Entrega por CLP 15,320 el mié, 25 de feb",Amazon,11-02-2026,15320,35029
"MACETAS PARA PLANTAS DE 10/9/8/7.5/7 PULGADAS CON AUTORIEGO, JUEGO DE 5 MACETAS DE PLÁSTICO CON AGUJEROS DE DRENAJE Y PLATILLOS, MACETAS DE FLORES DE PLÁSTICO, MACETA DE VIVERO PARA PLANTAS DE",20558,"Entrega por CLP 23,096 el mié, 25 de feb",Amazon,11-02-2026,23096,43654
