Producto,Precio,Tienda,Fecha,Medidas
SUSTRATO PARA MACETAS 7 L,4990,Casa ideas,11-02-2026,
MACETA TEXTURADA CON CACTUS,2990,Casa ideas,11-02-2026,
MACETA CON ORQUÍDEA PEQUEÑA,3590,Casa ideas,11-02-2026,
MACETA TEXTURADA CON PLANTA,5990,Casa ideas,11-02-2026,
MACETA METÁLICA 16X15 CM,2090,Casa ideas,11-02-2026,16X15CM
MACETA METÁLICA 16X15 CM,2090,Casa ideas,11-02-2026,16X15CM
MACETA DE VIDRIO CON CACTUS,2990,Casa ideas,11-02-2026,
MACETA DE VIDRIO CON CACTUS,2990,Casa ideas,11-02-2026,
"MACETA TERRACOTA CACTUS 15,5X21 CM",7190,Casa ideas,11-02-2026,5X21CM
"MACETA TERRACOTA CACTUS 15,5X21 CM",7190,Casa ideas,11-02-2026,5X21CM
MACETA CON FLOR ALTA ORQUIDEA,9590,Casa ideas,11-02-2026,
MACETA DE CERÁMICA CON CACTUS,7790,Casa ideas,11-02-2026,
CACTUS CON MACETA 7X9.5 CM,2390,Casa ideas,11-02-2026,5CM
CACTUS CON MACETA 7X9.5 CM,2390,Casa ideas,11-02-2026,5CM
MACETA REDONDA CON CACTUS DECORATIVO,2690,Casa ideas,11-02-2026,
MACETA REDONDA CON CACTUS DECORATIVO,2690,Casa ideas,11-02-2026,
CACTUS CON MACETA 27X40 CM,11390,Casa ideas,11-02-2026,27X40CM
MACETA DE CERÁMICA 9X9.5 CM,2990,Casa ideas,11-02-2026,5CM
MACETA DE CERÁMICA 9X9.5 CM,2990,Casa ideas,11-02-2026,5CM
MACETA DE CERÁMICA 9X9.5 CM,2990,Casa ideas,11-02-2026,5CM
CACTUS CON MACETA 12X16 CM,4790,Casa ideas,11-02-2026,12X16CM
MACETA CERÁMICA CACTUS DISEÑO 16X13 CM,7790,Casa ideas,11-02-2026,16X13CM
"MACETA PLÁSTICA CON RUEDAS 46,5X42,5 CM",22990,Casa ideas,11-02-2026,5CM
MACETA PLÁSTICA CON RUEDAS 31X15X25 CM,3590,Casa ideas,11-02-2026,15X25CM
MACETA PLÁSTICA CON RUEDAS 37X34 CM,14990,Casa ideas,11-02-2026,37X34CM
SOPORTE PARA MACETA BAMBÚ 25X40 CM,12990,Casa ideas,11-02-2026,25X40CM
SUCULENTA ALTA CON MACETA 25X43 CM,8990,Casa ideas,11-02-2026,25X43CM
MACETA DE CERÁMICA CRUDO 10.5X10.8 CM,3490,Casa ideas,11-02-2026,8CM
MACETA DE CERÁMICA CRUDO 13.5X13 CM,4990,Casa ideas,11-02-2026,5X13CM
MACETA DE CERÁMICA CRUDO 16.8X15.5 CM,7990,Casa ideas,11-02-2026,5CM
MACETA DE CERÁMICA CRUDO 18.6X18 CM,10990,Casa ideas,11-02-2026,6X18CM
PLANTA OLIVO CON MACETA 15X40 CM,8390,Casa ideas,11-02-2026,15X40CM
PLATO MACETA DE CERÁMICA DIÁMETRO 18 CM,4990,Casa ideas,11-02-2026,18CM
PLATO MACETA DE CERÁMICA DIÁMETRO 18 CM,3490,Casa ideas,11-02-2026,18CM
PLATO MACETA DE CERÁMICA DIÁMETRO 24 CM,7990,Casa ideas,11-02-2026,24CM
MACETA DOS TONOS CON CACTUS 8X13 CM,2390,Casa ideas,11-02-2026,8X13CM
MACETA DOS TONOS CON CACTUS 8X13 CM,2390,Casa ideas,11-02-2026,8X13CM
MACETA DOS TONOS CON CACTUS 8X13 CM,2390,Casa ideas,11-02-2026,8X13CM
MACETA DE CERÁMICA CON PATAS 15X10 CM,5990,Casa ideas,11-02-2026,15X10CM
MACETA DE CERÁMICA CON PATAS 15X10 CM,5990,Casa ideas,11-02-2026,15X10CM
MACETA DE CERÁMICA CON TEXTURA 14X12.4 CM,4990,Casa ideas,11-02-2026,4CM
MACETA DE CERÁMICA CON TEXTURA 19.8X8.7 CM,8990,Casa ideas,11-02-2026,7CM
MACETA DE CERÁMICA CON TEXTURA 15.7X7 CM,4990,Casa ideas,11-02-2026,7X7CM
MACETA DE CERÁMICA CON TEXTURA 15.7X7 CM,4990,Casa ideas,11-02-2026,7X7CM
MACETA DE CERÁMICA CON TEXTURA 17.7X14.7 CM,8990,Casa ideas,11-02-2026,7CM
MACETA DE CERÁMICA GATO ALTO 10.5X15 CM,4790,Casa ideas,11-02-2026,5X15CM
BASE PARA MACETA DE MADERA 40X12 CM,13990,Casa ideas,11-02-2026,40X12CM
PORTA MACETA COLGANTE DE FIBRA 18X18 CM,6590,Casa ideas,11-02-2026,18X18CM
BASE PARA MACETA CON RUEDAS DIÁMETRO 30X7 CM,9990,Casa ideas,11-02-2026,30X7CM
"MACETA DE VIDRIO CON CACTUS DIÁMETRO 6,9X7,9 CM",2190,Casa ideas,11-02-2026,9CM
"MACETA DE VIDRIO CON CACTUS DIÁMETRO 6,9X7,9 CM",2190,Casa ideas,11-02-2026,9CM
"MACETA DE VIDRIO CON CACTUS DIÁMETRO 6,9X7,9 CM",2190,Casa ideas,11-02-2026,9CM
"MACETA DE VIDRIO CON CACTUS DIÁMETRO 6,9X7,9 CM",2190,Casa ideas,11-02-2026,9CM
"MACETA DE VIDRIO CON CACTUS DIÁMETRO 6,9X7,9 CM",2190,Casa ideas,11-02-2026,9CM
"MACETA DE CERÁMICA CON PATAS DIÁMETRO 10X9,5 CM",1790,Casa ideas,11-02-2026,5CM
MACETA DE CERÁMICA CON DISEÑO Y PATAS 13 CM,4990,Casa ideas,11-02-2026,13CM
MACETA DE CERÁMICA CON DISEÑO Y PATAS 16 CM,7990,Casa ideas,11-02-2026,16CM
MACETA COLGANTE DE FIBRA DE BAMBÚ 30.2X30.2X13 CM,10990,Casa ideas,11-02-2026,2X13CM
SOPORTE PARA MACETA DE FIBRA NATURAL DIÁMETRO 30X50 CM,29390,Casa ideas,11-02-2026,30X50CM
MACETA DE CERÁMICA CON BASE DE BAMBÚ 21X17 CM,16990,Casa ideas,11-02-2026,21X17CM
MACETA DE FIBRA DE BAMBÚ CON PATAS 9.5X9.8 CM,2990,Casa ideas,11-02-2026,8CM
MACETA DE FIBRA DE BAMBÚ CON PATAS 9.5X9.8 CM,2990,Casa ideas,11-02-2026,8CM
MACETA DE FIBRA DE BAMBÚ CON PATAS 9.5X9.8 CM,2990,Casa ideas,11-02-2026,8CM
MACETA DE CERÁMICA CON BASE DE BAMBÚ 14X12 CM,7990,Casa ideas,11-02-2026,14X12CM
MACETA DE CERÁMICA CON BASE DE BAMBÚ 21X17 CM,16990,Casa ideas,11-02-2026,21X17CM
MACETA DE CERÁMICA CON BASE DE BAMBÚ 27X21 CM,26990,Casa ideas,11-02-2026,27X21CM
PLATO PARA MACETERO CON FORMA DE FLOR 14 CM,3990,Casa ideas,11-02-2026,14CM
PLATO PARA MACETERO CON FORMA DE FLOR 18 CM,4990,Casa ideas,11-02-2026,18CM
PLATO PARA MACETERO CON FORMA DE FLOR 24 CM,6990,Casa ideas,11-02-2026,24CM
JARDINERA PLÁSTICA PARA BALCÓN 59X36X25 CM,6290,Casa ideas,11-02-2026,36X25CM
ADORNO DE CERÁMICA ANIMAL,2390,Casa ideas,11-02-2026,
TERRARIO DE VIDRIO CON CACTUS 122X12 CM,5990,Casa ideas,11-02-2026,122X12CM
TERRARIO DE VIDRIO CON CACTUS 122X12 CM,3590,Casa ideas,11-02-2026,122X12CM
RAMO TELA MIXTO,5490,Casa ideas,11-02-2026,
RAMO TELA MIXTO,5490,Casa ideas,11-02-2026,
RAMO TELA MIXTO,5490,Casa ideas,11-02-2026,
SET DE ADORNO NATURAL L,6990,Casa ideas,11-02-2026,
RAMO SECO DE SETARIA ROJA,4790,Casa ideas,11-02-2026,
FLORERO CILINDRICO 10X20 CM,5290,Casa ideas,11-02-2026,10X20CM
FLORERO OVAL 13X18 CM,5990,Casa ideas,11-02-2026,13X18CM
FLORERO BAJO DE VIDRIO DIÁMETRO 19X17 CM,7990,Casa ideas,11-02-2026,19X17CM
FLORERO DE CERÁMICA CON DISEÑO,13590,Casa ideas,11-02-2026,
FLORERO CÓNICO VIDRIO 15X15X25 CM,7990,Casa ideas,11-02-2026,15X25CM
TERRARIO DE VIDRIO CON CACTUS 13X12 CM,3590,Casa ideas,11-02-2026,13X12CM
TERRARIO DE VIDRIO CON CACTUS 13X12 CM,3590,Casa ideas,11-02-2026,13X12CM
"FLORERO LARGO DE VIDRIO DIÁMETRO 8,5X25 CM",4990,Casa ideas,11-02-2026,5X25CM
FLORERO CILÍNDRICO VIDRIO 12X12X20 CM,3890,Casa ideas,11-02-2026,12X20CM
