Producto,Precio,Tienda,Fecha,Medidas
BERGEN 40X40 (PORTA MACETERO CERÁMICA XL),69990.0,Plantme,11-02-2026,
BANGKOK GRAFITO 75 (MACETERO FIBERCLAY),149990.0,Plantme,11-02-2026,
MADRID 40 AZUL (MACETERO PLÁSTICO RECICLADO XL),44990.0,Plantme,11-02-2026,
HONG KONG VERDE 54 (MACETERO FIBERCLAY),54990.0,Plantme,11-02-2026,
PACK TANTA (3 MACETEROS DE FIBRA DE ARCILLA),127478.0,Plantme,11-02-2026,
PHUKET XL 34X20 (MACETERO FIBRA DE ARCILLA),34990.0,Plantme,11-02-2026,
MADRID 19 GRAFITO (MACETERO PLÁSTICO RECICLADO M),9990.0,Plantme,11-02-2026,
"MADRID 26,5 GRAFITO (MACETERO PLÁSTICO RECICLADO L)",19990.0,Plantme,11-02-2026,
BERGEN 20X20 (PORTA MACETERO CERÁMICA M),26990.0,Plantme,11-02-2026,
PHUKET XXL 44X26 (MACETERO FIBRA DE ARCILLA),44990.0,Plantme,11-02-2026,
PHUKET XXXL 55X33 (MACETERO FIBRA DE ARCILLA),54990.0,Plantme,11-02-2026,
KO SAMUI L 24X24 (MACETERO FIBRA DE ARCILLA),24990.0,Plantme,11-02-2026,
KO SAMUI XL 33X33 (MACETERO FIBRA DE ARCILLA),34990.0,Plantme,11-02-2026,
KO SAMUI XXL 43X43 (MACETERO FIBRA DE ARCILLA),49990.0,Plantme,11-02-2026,
KO SAMUI XXXL 53X53 (MACETERO FIBRA DE ARCILLA),64990.0,Plantme,11-02-2026,
BERGEN 27X27 (PORTA MACETERO CERÁMICA L),39990.0,Plantme,11-02-2026,
PACK CAIRO (3 MACETEROS DE FIBRA DE VIDRIO),149978.0,Plantme,11-02-2026,
PACK MARRUECOS BLANCO (3 MACETEROS DE FIBRA DE ARCILLA),134978.0,Plantme,11-02-2026,
CAIRO 34X34 BLANCO (MACETERO DE FIBRA DE VIDRIO L),27492.0,Plantme,11-02-2026,
NÓRDICO NEGRO L (MACETERO DE CERÁMICA),44990.0,Plantme,11-02-2026,
NÓRDICO NEGRO XL (MACETERO DE CERÁMICA),79990.0,Plantme,11-02-2026,
CAIRO 40X39 BLANCO (MACETERO DE FIBRA DE VIDRIO XL),32492.0,Plantme,11-02-2026,
DINAMARCA 16X14 BLANCO (MACETERO PORCELANA S),18990.0,Plantme,11-02-2026,
TANTA 34X31 BLANCO (MACETERO FIBRA DE ARCILLA L),49990.0,Plantme,11-02-2026,
NUSA L (CANASTO DE FIBRA NATURAL),16990.0,Plantme,11-02-2026,
HONG KONG VERDE 32 (MACETERO FIBERCLAY),29990.0,Plantme,11-02-2026,
HONG KONG VERDE 42 (MACETERO FIBERCLAY),44990.0,Plantme,11-02-2026,
BANGKOK GRAFITO 62 (MACETERO FIBERCLAY),124990.0,Plantme,11-02-2026,
"SANTORINI NEGRO (CANASTO DE FIBRA NATURAL), XL",24990.0,Plantme,11-02-2026,
"KENIA VERDE (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
MURCIA 27 GRIS OSCURO (MACETERO COLGANTE PLÁSTICO RECICLADO),12990.0,Plantme,11-02-2026,
PACK DE ZURICH VERDES (MACETERO DE CERAMICA),14990.0,Plantme,11-02-2026,
PACK DE ZURICH BLANCOS (MACETERO DE CERAMICA),14990.0,Plantme,11-02-2026,
"SANTORINI NEGRO (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
"KENIA NEGRO (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
"KRABI (CANASTO DE FIBRA NATURAL), XL",29990.0,Plantme,11-02-2026,
"KRABI (CANASTO DE FIBRA NATURAL), L",19990.0,Plantme,11-02-2026,
"SANTORINI BLANCO (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
"PHUKET (CANASTO DE FIBRA NATURAL), XL",24990.0,Plantme,11-02-2026,
"PHUKET (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
"MAR (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
"MAR (CANASTO DE FIBRA NATURAL), XL",24990.0,Plantme,11-02-2026,
"SANTORINI BLANCO (CANASTO DE FIBRA NATURAL), XL",24990.0,Plantme,11-02-2026,
"SIMBA (CANASTO DE FIBRA NATURAL), XL",24990.0,Plantme,11-02-2026,
"KENIA NEGRO (CANASTO DE FIBRA NATURAL), XL",24990.0,Plantme,11-02-2026,
MADRID 13 BLANCO (MACETERO PLÁSTICO RECICLADO S),6990.0,Plantme,11-02-2026,
MADRID 13 AZUL (MACETERO PLÁSTICO RECICLADO S),6990.0,Plantme,11-02-2026,
MADRID 13 GRAFITO (MACETERO PLÁSTICO RECICLADO S),6990.0,Plantme,11-02-2026,
MADRID 19 AZUL (MACETERO PLÁSTICO RECICLADO M),9990.0,Plantme,11-02-2026,
MADRID 19 BLANCO (MACETERO PLÁSTICO RECICLADO M),9990.0,Plantme,11-02-2026,
MADRID 40 GRAFITO (MACETERO PLÁSTICO RECICLADO XL),44990.0,Plantme,11-02-2026,
CÁDIZ 13 GRIS (MACETERO PLÁSTICO RECICLADO ORQUÍDEA),6990.0,Plantme,11-02-2026,
"MÁLAGA 13,5 COLOR PIEDRA (MACETERO COLGANTE ORQUÍDEA)",7990.0,Plantme,11-02-2026,
"KENIA VERDE (CANASTO DE FIBRA NATURAL), XL",24990.0,Plantme,11-02-2026,
"SIMBA (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
"BALÚ (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
"BIGOTES (CANASTO DE FIBRA NATURAL), L",14990.0,Plantme,11-02-2026,
MARRUECOS 50X40 GRIS (MACETERO FIBRA DE ARCILLA XXL),69990.0,Plantme,11-02-2026,
ASUAN 35 (FIBRA DE ARCILLA),54990.0,Plantme,11-02-2026,
BALI L (CANASTO DE FIBRA NATURAL),14990.0,Plantme,11-02-2026,
DINAMARCA 16X14 GRIS (MACETERO PORCELANA S),18990.0,Plantme,11-02-2026,
NUSA XL (CANASTO DE FIBRA NATURAL),26990.0,Plantme,11-02-2026,
LUXOR 31 (FIBRA DE ARCILLA),49990.0,Plantme,11-02-2026,
TANTA 40X35 BLANCO (MACETERO FIBRA DE ARCILLA XL),59990.0,Plantme,11-02-2026,
PACK DINAMARCA GRIS (MACETEROS DE PORCELANA),80970.0,Plantme,11-02-2026,
BALI XL (CANASTO DE FIBRA NATURAL),24990.0,Plantme,11-02-2026,
PACK MARRUECOS GRIS (3 MACETEROS DE FIBRA DE ARCILLA),134978.0,Plantme,11-02-2026,
PACK DINAMARCA BLANCO (3 MACETEROS DE PORCELANA),80970.0,Plantme,11-02-2026,
AMALFI 22X26 (MACETERO FIBRA DE ARCILLA) L,34990.0,Plantme,11-02-2026,
DANÉS M NEGRO (PORTA MACETERO DE CERAMICA),21990.0,Plantme,11-02-2026,
DANÉS M GRIS (PORTA MACETERO DE CERAMICA),21990.0,Plantme,11-02-2026,
DANÉS M BLANCO (PORTA MACETERO DE CERAMICA),21990.0,Plantme,11-02-2026,
PACK BERGEN (3 PORTA MACETEROS DE CERÁMICA),102728.0,Plantme,11-02-2026,
OSLO 40X40 AZUL (PORTA MACETERO CERÁMICA XL),48993.0,Plantme,11-02-2026,
OSLO 20X20 AZUL (PORTA MACETERO CERÁMICA M),18893.0,Plantme,11-02-2026,
OSLO 27X27 AZUL (PORTA MACETERO CERÁMICA L),27993.0,Plantme,11-02-2026,
PACK OSLO (3 MACETEROS DE CERÁMICA),95879.0,Plantme,11-02-2026,
AMALFI 43X49 (MACETERO FIBRA DE ARCILLA XXL),79990.0,Plantme,11-02-2026,
MADRID 40 BLANCO (MACETERO PLÁSTICO RECICLADO XL),44990.0,Plantme,11-02-2026,
"MADRID 26,5 BLANCO (MACETERO PLÁSTICO RECICLADO L)",24990.0,Plantme,11-02-2026,
