Producto,Marca,Precio,Tienda,Fecha,Medidas
MACETERO CEMENTO MODELO CURITIBA 32CM ALTO,GENERICO,29990.0,Sodimac,11-02-2026,32CM
MACETERO BEIGE AMSTERDAM 65 CM ALTO CON PLATO,FLORIDIS,35990.0,Sodimac,11-02-2026,65CM
MACETERO LOOK BARRIL,JUST HOME COLLECTION,,Sodimac,11-02-2026,
MACETERO DE PLÁSTICO 27X38 CM GRANITO,JUST HOME COLLECTION,27990.0,Sodimac,11-02-2026,27X38CM
MACETERO JARDINERA DE MADERA CON PATAS DE FIERRO 60CM,GENERICO,25990.0,Sodimac,11-02-2026,60CM
MACETERO SIENA DE PLÁSTICO 40X40 CM ARENA,JUST HOME COLLECTION,9990.0,Sodimac,11-02-2026,40X40CM
SOPORTE PARA MACETAS ESTANTE DE MACETAS PARA PLANTAS 8 NIVEL,TNAKIEX,32990.0,Sodimac,11-02-2026,
MACETERO NEGRO AMSTERDAM 55CM ALTO CON PLATO,FLORIDIS,49990.0,Sodimac,11-02-2026,55CM
MACETERO RÚSTICO DE ARCILLA TERRACOTA,CASA BONITA,,Sodimac,11-02-2026,
SET 3 MACETEROS DE MADERA TIPO BARRIL,CASA BONITA,36990.0,Sodimac,11-02-2026,
MACETERO GRAFIATO DE PLÁSTICO 34X48 CM GRANITO,JUST HOME COLLECTION,42990.0,Sodimac,11-02-2026,34X48CM
SET ORGANIZADOR 3 PEDESTAL PORTA MACETERO DESMONTABLE METAL,ANYHOGAR,21990.0,Sodimac,11-02-2026,
ESTANTE PLANTAS 75X54 CM GREEN,JUST HOME COLLECTION,29990.0,Sodimac,11-02-2026,75X54CM
MACETERO ROTOMOLDEADO MUNA DE POLIETILENO 55X53 CM ARENA,DECO POTTERY,72990.0,Sodimac,11-02-2026,55X53CM
SOPORTE PARA MACETAS ESTANTE DE MACETAS PARA PLANTAS 8 NIVEL,TNAKIEX,32990.0,Sodimac,11-02-2026,
MACETERO RÚSTICO DE ARCILLA TERRACOTA,CASA BONITA,,Sodimac,11-02-2026,
MACETERO SIENA DE PLÁSTICO 40X40 CM BLANCO,JUST HOME COLLECTION,9990.0,Sodimac,11-02-2026,40X40CM
SET 4 TAMAÑOS DE MACETEROS DENVER COLOR BEIGE,JUST HOME COLLECTION,17990.0,Sodimac,11-02-2026,
MACETERO DE POLIETILENO 43X65 CM GRANITO,JUST HOME COLLECTION,52990.0,Sodimac,11-02-2026,43X65CM
MACETERO DE CERÁMICA NIHI,JUST HOME COLLECTION,,Sodimac,11-02-2026,
MACETERO DE CERÁMICA 13X11 CM COLORES SURTIDOS,JUST HOME COLLECTION,2990.0,Sodimac,11-02-2026,13X11CM
MACETERO DE MIMBRE PORTA MACETA RUSTICA TRENZAS,OEM,14990.0,Sodimac,11-02-2026,
MACETERO DE PLÁSTICO 30 CM PLATA,JUST HOME COLLECTION,7990.0,Sodimac,11-02-2026,30CM
MACETERO MIKONOS,JUST HOME COLLECTION,,Sodimac,11-02-2026,
SET 3 MACETEROS DE FIBRA STRI GREY GRIS,JUST HOME COLLECTION,96990.0,Sodimac,11-02-2026,
MACETERO DE CERÁMICA EMA,JUST HOME COLLECTION,,Sodimac,11-02-2026,
SET 2 MACETEROS DE FIBRA CON PATAS BLANCO,JUST HOME COLLECTION,62990.0,Sodimac,11-02-2026,
MACETERO FIBRA LINE,JUST HOME COLLECTION,,Sodimac,11-02-2026,
MACETERO GRIS EFECTO MARMOL AMSTERDAM 65CM ALTO CON PLATO,FLORIDIS,27990.0,Sodimac,11-02-2026,65CM
MACETERO BEIGE EFECTO MARMOL AMSTERDAM 65CM ALTO CON PLATO,FLORIDIS,35990.0,Sodimac,11-02-2026,65CM
MACETERO DE CERÁMICA KURA,JUST HOME COLLECTION,,Sodimac,11-02-2026,
SOPORTE PARA PLANTAS COLGANTES 2 GANCHOS DE PARED DE HIERRO,MUNDO MAGIA,7990.0,Sodimac,11-02-2026,
SET 3 MACETEROS DE FIBRA TALL TAUPE GRIS,JUST HOME COLLECTION,119990.0,Sodimac,11-02-2026,
MACETERO GRAFITO AMSTERDAM 65 CM ALTO CON PLATO,FLORIDIS,35990.0,Sodimac,11-02-2026,65CM
MACETERO DE MADERA TIPO BARRIL,CASA BONITA,,Sodimac,11-02-2026,
MACETERO REDONDO DE ARCILLA TERRACOTA,JUST HOME COLLECTION,,Sodimac,11-02-2026,
MACETERO BEIGE AMSTERDAM 44CM ALTO CON PLATO,FLORIDIS,27990.0,Sodimac,11-02-2026,44CM
MACETERO DE CERÁMICA,SK,,Sodimac,11-02-2026,
SET ORGANIZADOR PEDESTAL PORTA MACETERO DESMONTABLE METAL,KINDA NICE,12990.0,Sodimac,11-02-2026,
SET 3 MACETEROS DE CERÁMICA NIHI VERDE JADE,JUST HOME COLLECTION,50990.0,Sodimac,11-02-2026,
MACETERO SIENA DE PLÁSTICO 40X40 CM TAUPÉ,JUST HOME COLLECTION,9990.0,Sodimac,11-02-2026,40X40CM
MACETERO CEMENTO MODELO MARAGOGI 30CM ALTO,GENERICO,17990.0,Sodimac,11-02-2026,30CM
PARAGUAS GRANDE DE TOTORA PARA JARDÍN Y EXTERIORES,TOTORARTE,13390.0,Sodimac,11-02-2026,
MACETERO DE PLÁSTICO 27X38 CM ARENA,JUST HOME COLLECTION,27990.0,Sodimac,11-02-2026,27X38CM
MACETERO REDONDO DE PLÁSTICO 32X30 CM TAUPE,REYPLAST,10990.0,Sodimac,11-02-2026,32X30CM
MACETA MACETERO PEDESTAL DECORATIVO GRANDE,GENERICO,19990.0,Sodimac,11-02-2026,
