,Producto,Marca,Precio,Tienda,Fecha,Medidas,Material,Cantidad,Venta agrupada
0,MACETERO 14 CM BOHO NATURAL OUTZEN,OUTZEN,3493,Easy,04-03-2026,14CM,DESCONOCIDO,1,0
1,MACETERO S COLOMBA OUTZEN,OUTZEN,14990,Easy,04-03-2026,S,DESCONOCIDO,1,0
2,MACETERO ENLOZADO BLANCO 14X12X12 CM,DECOGREEN,6990,Easy,04-03-2026,14X12X12,DESCONOCIDO,1,0
3,MACETERO 18 CM PIEDRA BLANCO REYPLAST,REYPLAST,2990,Easy,04-03-2026,18CM,DESCONOCIDO,1,0
4,MACETERO 33 CM PIEDRA TAUPE REYPLAST,REYPLAST,9990,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
5,MACETERO HAZEL MARRON OUTZEN,OUTZEN,6993,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
6,MACETERO 11.5 CM HANOVER MOSTAZA JAPI,JAPI,2598,Easy,04-03-2026,11.5CM,DESCONOCIDO,1,0
7,MACETA BILLIE BLANCO 44.45 CM,OUTZEN,8393,Easy,04-03-2026,44.45CM,DESCONOCIDO,1,0
8,MACETERO ESTILO PIEDRA AZUL ACERO 17X16.7X17 CM,REYPLAST,2990,Easy,04-03-2026,17X16.7X17,METAL,1,0
9,MACETERO 33 CM RUSTIC ROUND PLANTER IV JAPI,JAPI,19990,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
10,MACETERO HAZEL CRUDO OUTZEN,OUTZEN,6993,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
11,MACETERO 33 CM PIEDRA BLANCO REYPLAST,REYPLAST,9990,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
12,MACETA OLEANDER ECRUE 15 CM,OUTZEN,2990,Easy,04-03-2026,15CM,DESCONOCIDO,1,0
13,MACETERO 57 CM RUSTIC ROUND PLANTER VI JAPI.,JAPI,49990,Easy,04-03-2026,57CM,DESCONOCIDO,1,0
14,MACETA OLEANDER VERDE 15 CM,OUTZEN,2990,Easy,04-03-2026,15CM,DESCONOCIDO,1,0
15,MACETA BILLIE GRIS 28.6 CM,OUTZEN,2793,Easy,04-03-2026,28.6CM,DESCONOCIDO,1,0
16,MACETA BASE MADERA OCRE 21 CM,OUTZEN,6993,Easy,04-03-2026,21CM,NATURAL,1,0
17,MACETERO L BASIC BLANCO OUTZEN,OUTZEN,10493,Easy,04-03-2026,L,DESCONOCIDO,1,0
18,MACETERO M COLOMBA OUTZEN,OUTZEN,24990,Easy,04-03-2026,M,DESCONOCIDO,1,0
19,MACETERO 20 CM S CANASTO NATURAL OUTZEN,OUTZEN,4193,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
20,MACETA BILLIE BLANCO 28.6 CM,OUTZEN,2793,Easy,04-03-2026,28.6CM,DESCONOCIDO,1,0
21,MACETERO 18 CM CAPRI ANTRACITA OUTZEN,OUTZEN,2093,Easy,04-03-2026,18CM,DESCONOCIDO,1,0
22,MACETERO CILINDRO GRAFITO CON PLATO DORADO L 18X18 CM,DECOGREEN,7794,Easy,04-03-2026,18X18,DESCONOCIDO,1,0
23,MACETERO HAZEL GRIS CLARO OUTZEN,OUTZEN,6993,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,1,0
24,MACETERO S BASIC JADE OUTZEN,OUTZEN,4893,Easy,04-03-2026,S,DESCONOCIDO,1,0
25,MACETERO 28 CM BOHO NATURAL OUTZEN,OUTZEN,10493,Easy,04-03-2026,28CM,DESCONOCIDO,1,0
26,MACETA OLEANDER RUSTED 15 CM,OUTZEN,2990,Easy,04-03-2026,15CM,DESCONOCIDO,1,0
27,MACETERO 33 CM RUSTIC ROUND PLANTER I JAPI,JAPI,19990,Easy,04-03-2026,33CM,DESCONOCIDO,1,0
28,MACETERO 33 CM RATAN MARRON REYPLAST,REYPLAST,8980,Easy,04-03-2026,33CM,NATURAL,1,0
29,MACETA BASE MADERA VERDE 21 CM,GENERICO,6993,Easy,04-03-2026,21CM,NATURAL,1,0
30,MACETA 34.5 CM FIBER CLAY CLOUD,OUTZEN,16990,Easy,04-03-2026,34.5CM,CEMENTICIO,1,0
31,MACETA BARRIL ARCE 20.6 CM,OUTZEN,2793,Easy,04-03-2026,20.6CM,DESCONOCIDO,1,0
32,MACETA BILLIE GRIS 44.45 CM,OUTZEN,8393,Easy,04-03-2026,44.45CM,DESCONOCIDO,1,0
33,MACETERO CILINDRO GRAFITO CON PLATO DORADO M 15X15 CM,DECOGREEN,6594,Easy,04-03-2026,15X15,DESCONOCIDO,1,0
34,MACETA BOCAYA BEIGE 46 CM,OUTZEN,35693,Easy,04-03-2026,46CM,DESCONOCIDO,1,0
35,MACETERO CILINDRO CEMENTO CON PEDESTAL BAMBOO 25X19 CM,DECOGREEN,5394,Easy,04-03-2026,25X19,CEMENTICIO,1,0
36,MACETA OLEANDER ECRU 19 CM,OUTZEN,4990,Easy,04-03-2026,19CM,DESCONOCIDO,1,0
37,MACETERO 45 CM RUSTIC ROUND PLANTER II JAPI,JAPI,39990,Easy,04-03-2026,45CM,DESCONOCIDO,1,0
38,MACETERO S BASIC GRIS OUTZEN,OUTZEN,4893,Easy,04-03-2026,S,DESCONOCIDO,1,0
39,MACETERO 32.5 CM XL CANASTO NATURAL OUTZEN,OUTZEN,8393,Easy,04-03-2026,32.5CM,DESCONOCIDO,1,0
40,MACETERO 18 CM ESTILO PIEDRA GREEN TERRA,REYPLAST,2990,Easy,04-03-2026,18CM,DESCONOCIDO,1,0
41,MACETERO CILINDRO TERRACOTA CON PEDESTAL BAMBOO 25X19 CM,DECOGREEN,6990,Easy,04-03-2026,25X19,DESCONOCIDO,1,0
42,MACETERO 55 CM FLUTE TALL PLANTER IV JAPI.,JAPI,49990,Easy,04-03-2026,55CM,DESCONOCIDO,1,0
43,MACETA 29 CM FIBER CLAY PUMPKIN,OUTZEN,12990,Easy,04-03-2026,29CM,CEMENTICIO,1,0
44,MACETERO CILINDRO VERDE MUSGO CON PLATO DORADO M 15X15 CM,DECOGREEN,6990,Easy,04-03-2026,15X15,DESCONOCIDO,1,0
45,MACETERO BIODEGRADABLE BAMBOO CUADRADO BLANCO 13.3X13.3X12.4 CM,DECOGREEN,2590,Easy,04-03-2026,13.3X13.3X12.4,DESCONOCIDO,1,0
46,SET 3 MACETEROS PIZARRA + BANDEJA CREMA,DECOGREEN,6990,Easy,04-03-2026,SIN MEDIDAS,DESCONOCIDO,3,1
47,MACETA STRIPES AZUL 20 CM,OUTZEN,6993,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
48,MACETERO 45 CM RUSTIC ROUND PLANTER XI JAPI,JAPI,19990,Easy,04-03-2026,45CM,DESCONOCIDO,1,0
49,MACETA MURCIA 50 CM,OUTZEN,20993,Easy,04-03-2026,50CM,DESCONOCIDO,1,0
50,MACETA AZUL 16 CM,OUTZEN,6993,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
51,MACETERO 16 CM PIEDRA TAUPE REYPLAST.,REYPLAST,2990,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
52,MACETA CERAMICA ALINE XL GLOSSY AZUL,OUTZEN,13993,Easy,04-03-2026,XL,CERAMICA,1,0
53,MACETA VERDE 16 CM,OUTZEN,6993,Easy,04-03-2026,16CM,DESCONOCIDO,1,0
54,MACETERO 20 CM BOHO NATURAL OUTZEN,OUTZEN,6993,Easy,04-03-2026,20CM,DESCONOCIDO,1,0
