Producto,Precio,Precio envio,Tienda,Fecha
"100 Pcs Macetas de Vivero de Plantas, Macetas de 10 cm para Plántulas de Plantas Pequeñas con Etiquetas, Macetas de Plástico para Flores de Plantas con Agujeros de Drenaje para Interior y",8564,"Entrega por CLP 13,177 el mié, 25 de feb",Amazon,11-02-2026
"T4U Paquete de 5 macetas de riego automático (6 + 8 + 9 + 10 + 12 pulgadas) – Indicador de nivel de agua y depósito profundo, macetas sin desorden para personas ocupadas, principiantes y jardineros",26868,"Entrega por CLP 26,859 el mié, 25 de feb",Amazon,11-02-2026
"QCQHDU Maceta de 8 pulgadas, paquete de 2 macetas para plantas de interior con agujeros de drenaje y platillo, macetas para exteriores, decoración moderna para el hogar y el jardín",14566,"Entrega por CLP 18,706 el vie, 27 de feb",Amazon,11-02-2026
"Macetas grandes de riego automático de 12 pulgadas, 10 pulgadas, 9 pulgadas, paquete de 3 macetas con múltiples agujeros de drenaje de malla para plantas y flores de jardín de interiores y",24845,"Entrega por CLP 27,348 el mié, 25 de feb",Amazon,11-02-2026
"-Macetas de riego automático para interiores con agujeros de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, color negro, 6 macetas",17129,"Entrega por CLP 18,286 el mié, 25 de feb",Amazon,11-02-2026
Utopia Home Macetas para plantas de interior con agujeros de drenaje – Juego de 5 macetas de flores de plástico blanco (7/6.6/6/5.3/4.8 pulgadas) – Macetas modernas para plantas de interior,11136,"Entrega por CLP 16,100 el vie, 27 de feb",Amazon,11-02-2026
"Kante - Maceta redonda de hormigón desgastado de 18 pulgadas de diámetro, maceta grande para interiores y exteriores con agujero de drenaje y tapón de goma para patio y jardín del hogar, hormigón",58288,"Entrega por CLP 141,926 entre el 23 de feb - 11 de mar",Amazon,11-02-2026
"Juego de 20 macetas de vivero transparentes de 10/12,7/15,2/17,8 cm con platillos, macetas de plástico con agujeros de drenaje, paquete variado de macetas de jardín para plántulas para",17995,"Entrega por CLP 16,812 el mié, 25 de feb",Amazon,11-02-2026
"Macetas con autorriego para interior con orificios de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, Verde, 6 macetas.",17120,"Entrega por CLP 18,158 el mié, 25 de feb",Amazon,11-02-2026
"Gepege Juego de 2 macetas de cerámica con cuentas de 6 pulgadas con orificio de drenaje y platillo para plantas, maceta redonda grande para orquídeas suculentas para interiores y exteriores, color",21424,"Entrega por CLP 20,858 el jue, 26 de feb",Amazon,11-02-2026
"Melphoe Macetas de Interior con Drenaje y Platillo, Juego de 2 Macetas de 8 Pulgadas para Plantas de Interior y Exterior, Macetas para Jardín y Hogar, para Cactus y Suculentas, Plástico Rígido",14566,"Entrega por CLP 18,012 el mié, 25 de feb",Amazon,11-02-2026
"Macetas grandes de 12 pulgadas, macetas de plástico con agujeros de drenaje y platillos, macetas para plantas de interior y exterior, macetas decorativas modernas para plantas de casa de",19452,"Entrega por CLP 26,713 el mié, 25 de feb",Amazon,11-02-2026
"Paquete de 4 macetas grandes de 16 pulgadas, maceta de plástico para interiores y exteriores con agujeros de drenaje y platillo, macetas con patrón a cuadros, macetas de jardín para hierbas",48858,"Entrega por CLP 61,177 el vie, 27 de feb",Amazon,11-02-2026
"Planta de plástico de 8 pulgadas, paquete de 4 con agujeros de drenaje y platillos, macetas decorativas de ondas de agua para plantas de interior y exterior, patio, jardín, decoración del",18852,"Entrega por CLP 19,512 entre el 20 de feb - 4 de mar",Amazon,11-02-2026
"Macetas de 6 pulgadas, paquete de 5 macetas para exteriores e interiores, macetas con agujeros de drenaje y platillos de bandeja (multicolor)",13828,"Entrega por CLP 15,731 el mié, 25 de feb",Amazon,11-02-2026
"Macetas de riego automático de 8/10/12 pulgadas para plantas de interior/exterior - Maceta grande de plástico con agujeros de drenaje, indicador de nivel de agua y reservorio profundo",24853,"Entrega por CLP 25,402 el mié, 25 de feb",Amazon,11-02-2026
"-Macetas de riego automático para interiores con agujeros de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, color blanco, 6 macetas",17129,"Entrega por CLP 18,072 el mié, 25 de feb",Amazon,11-02-2026
"Macetas de 12/10/8 Pulgadas con Riego Automático para Plantas de Interior, Maceta Grande de Plástico para Plantas de Exterior, Maceta de Flores con Ventana de Nivel de Agua y Espacioso Reservorio",23996,"Entrega por CLP 26,765 el mié, 25 de feb",Amazon,11-02-2026
"Macetas pequeñas de plástico de 4 pulgadas, macetas de plántulas, juego de 5 macetas de ondas de agua para plantas de interior, macetas con agujeros de drenaje y platillos, macetas de inicio",7707,"Entrega por CLP 11,822 el mié, 25 de feb",Amazon,11-02-2026
"Maceta de 6 Pulgadas de Phoenix Vine con Agujero de Drenaje y Platillo, Bandeja Profunda de Recolección de Agua, Maceta Cilíndrica Recta Redonda para Plantas, Blanco Mate, Paquete de 1, 23-B-S-1",16280,"Entrega por CLP 15,457 el jue, 26 de feb",Amazon,11-02-2026
Creative Co-Op - Maceta grande de cerámica blanca mate con relieve,84864,"Entrega por CLP 61,854 el jue, 26 de feb",Amazon,11-02-2026
"Usocik Paquete de 4 macetas retro de 10 pulgadas, macetas vintage a rayas con orificio de drenaje y platillo, macetas grandes de plástico para plantas de interior y exterior, macetas decorativas de",18852,"Entrega por CLP 21,064 el mié, 25 de feb",Amazon,11-02-2026
"Keter Juego de 2 macetas de resina modernas para exteriores de 22 pulgadas de alto, macetas de aspecto de madera cónica para plantas al aire libre y decoración de porche delantero, grafito",42848,"Entrega por CLP 138,282 el vie, 27 de feb",Amazon,11-02-2026
"Juego de 3 macetas de cerámica de 6.75/5.6/4.2 pulgadas con agujeros de drenaje y platillo, maceta para exteriores e interiores, macetas decorativas modernas para plantas de casa, jardín",17137,"Entrega por CLP 18,929 el mié, 25 de feb",Amazon,11-02-2026
"Maceta de cerámica con orificio de drenaje y platillo, redonda, esmaltada, moderna, para suculentas, lengua de suegra (sansevieria), plantas de interior y exterior, 6 pulgadas",13828,"Entrega por CLP 16,614 el mié, 25 de feb",Amazon,11-02-2026
"Paquete de 10 macetas de 6 pulgadas con drenaje y platillos, macetas de plástico negro para plantas de interior y exterior, macetas apilables para plantas de interior y hierbas, color negro",14651,"Entrega por CLP 15,106 el jue, 26 de feb",Amazon,11-02-2026
"Orceler Macetas de terracota y arcilla de 6 pulgadas para plantas con platillo, macetas medianas de terracota con orificio de drenaje, maceta con bandeja, maceta de terracota para plantas de interior",16340,"Entrega por CLP 23,276 el mié, 25 de feb",Amazon,11-02-2026
"DeeCoo Juego de 3 macetas de cerámica para interiores con agujeros de drenaje, 5.7/4.7/3.5/pulgadas, macetas decorativas modernas para plantas al aire libre, lirios, cactus, suculentas, serpientes y",16280,"Entrega por CLP 27,065 el mié, 25 de feb",Amazon,11-02-2026
"Macetas WEICHENGXING, 12/10/9/8/ Pulgadas Grandes Macetas de Plástico Auto-Riego para Plantas de Interior y Exterior con Agujeros de Drenaje, Depósito Profundo, Maceta de Plantación para Vivero para",28282,"Entrega por CLP 27,279 el mié, 25 de feb",Amazon,11-02-2026
"RAOOKIF Paquete de 100 macetas de guardería, macetas de 4, 5 y 6 pulgadas para plantas, macetas de plástico con agujeros de drenaje, macetas de jardín para trasplantar, suculentas, esquejes, plántulas",8564,"Entrega por CLP 12,688 entre el 23 de feb - 2 de mar",Amazon,11-02-2026
"Macetas de cerámica toscana, macetas vintage de 6.11 pulgadas con orificio de drenaje para plantas de interior, jarrón verde de granja y macetas, decoración del hogar, cocina, jardín",19709,"Entrega por CLP 15,320 el mié, 25 de feb",Amazon,11-02-2026
"Macetas para Plantas de 10/9/8/7.5/7 Pulgadas con Autoriego, Juego de 5 Macetas de Plástico con Agujeros de Drenaje y Platillos, Macetas de Flores de Plástico, Maceta de Vivero para Plantas de",20558,"Entrega por CLP 23,096 el mié, 25 de feb",Amazon,11-02-2026
"Macetas de interior de 6 pulgadas con orificio de drenaje y platillo de bandeja, macetas para plantas y flores de jardín de interiores y exteriores, multicolor, 4 paquetes",8564,"Entrega por CLP 14,960 el mié, 25 de feb",Amazon,11-02-2026
"Macetas de 4 Pulgadas, Juego de 6 Macetas de Interior, Macetas con Agujeros de Drenaje y Bandejas para Orquídeas, Violetas, Suculentas, Hierbas y Otras Plantas, Coloridas",8564,"Entrega por CLP 12,045 el jue, 26 de feb",Amazon,11-02-2026
"Macetas grandes de riego automático de 8/9/10 pulgadas, macetas de plástico con orificios de drenaje de malla múltiple e indicador de nivel de agua y depósito profundo para plantas y flores de",14566,"Entrega por CLP 19,606 el jue, 26 de feb",Amazon,11-02-2026
"LE TAUCI Macetas de cerámica, macetas con patas de 5.1 + 6.4 pulgadas para plantas, macetas modernas para el hogar y la oficina, macetas de interior con drenaje, esmalte reactivo blanco",23139,"Entrega por CLP 18,801 el mié, 25 de feb",Amazon,11-02-2026
"Lindas macetas de cerámica para suculentas, maceta con drenaje y platillo adjunto, juego de 5 plantas no incluidas (redonda)",19709,"Entrega GRATIS el mié, 25 de feb a Chile en US$49 (CLP 42,008) de artículos elegibles",Amazon,11-02-2026
Macetas de interior con platillos y drenaje - Paquete de 6 macetas de flores - Maceteros de plástico para plantas de interior - Tamaños de 7.5/6.6/5.8/5.0/4.3/3.5 pulgadas para todos los,11136,"Entrega por CLP 15,937 el mié, 25 de feb",Amazon,11-02-2026
"QCQHDU Maceta de 8 pulgadas, paquete de 2 macetas para plantas de interior con agujeros de drenaje y platillo, macetas para exteriores, decoración moderna para el hogar y el jardín",14566,"Entrega por CLP 18,706 el vie, 27 de feb",Amazon,11-02-2026
"LE TAUCI Macetas de 12 pulgadas para plantas, macetas de cerámica con agujeros de drenaje y platillos, maceta grande elegante y duradera, perfecta para decoración del hogar y la oficina, color blanco",60002,"Entrega por CLP 56,196 el jue, 26 de feb",Amazon,11-02-2026
"MIXC Macetas de vivero engrosadas transparentes con base de silicona para fácil trasplante, 30 paquetes de 4 pulgadas, maceta transparente reutilizable para plántulas de vegetales, esquejes de raíz",19538,"Entrega GRATIS el mié, 25 de feb a Chile en US$49 (CLP 42,008) de artículos elegibles",Amazon,11-02-2026
"Quarut Paquete de 3 macetas de 10 pulgadas, macetas de barril de whisky con agujeros de drenaje y platillo, macetas de plástico para decoración de flores con diseño de barril de vino imitación, para",22281,"Entrega por CLP 21,655 el jue, 26 de feb",Amazon,11-02-2026
"LE TAUCI Macetas de 4.1 + 5.1 + 6.5 pulgadas, juego de 3, macetas de cerámica con orificio de drenaje y platillo, maceta de interior con almohadilla de malla de agujero, regalos para mamá, esmalte",34283,"Entrega por CLP 24,973 el mié, 25 de feb",Amazon,11-02-2026
"Paquete de 28 macetas pequeñas de 4 pulgadas, macetas de plástico con agujeros de drenaje y platillos para flores, plantas, suculentas, macetas de inicio de semillas, color blanco",13837,"Entrega por CLP 14,017 el mié, 25 de feb",Amazon,11-02-2026
"Anyumocz 60 piezas de 1 galón de macetas flexibles para vivero de plantas, maceta de plántula de plástico suave y engrosado con agujeros, contenedor de plantas de flores para suculentas, esquejes",13708,"Entrega por CLP 22,273 el jue, 26 de feb",Amazon,11-02-2026
"Paquete de 5 macetas con drenaje de 7/6.5/6/5.5/5 pulgadas, macetas de riego automático para plantas de interior, macetas para plantas de interior y exterior, maceta de plástico, maceta para",11128,"Entrega GRATIS el mié, 25 de feb a Chile en US$49 (CLP 42,008) de artículos elegibles",Amazon,11-02-2026
"CosmoLiving by Cosmopolitan - Maceta de metal para interiores y exteriores, maceta grande con soporte extraíble, juego de 2 macetas de 19 pulgadas, 22 pulgadas de alto, color dorado",52278,"Entrega por CLP 80,989 el jue, 26 de feb",Amazon,11-02-2026
"The HC Companies Macetas redondas Tucson de 20 pulgadas con aspecto de cerámica, resina ligera resistente a los rayos UV para interiores y exteriores, 1 paquete de macetas para decoración de jardín y",42822,"Entrega por CLP 92,348 el vie, 27 de feb",Amazon,11-02-2026
"Worth Juego de macetas redondas de 9 galones de alto, 2-14 pulgadas de diámetro x 21 pulgadas de alto, con acabado de piedra, contenedor decorativo para interiores, jardín, patio, irrompible, beige",85507,"Entrega por CLP 94,217 el vie, 27 de feb",Amazon,11-02-2026
Creative Co-Op - Maceta grande de cerámica blanca mate con relieve,84864,"Entrega por CLP 61,854 el jue, 26 de feb",Amazon,11-02-2026
"Dalzom® 60 macetas de turba de 3.1 pulgadas con 60 etiquetas para plantas, macetas biodegradables para plántulas con agujeros de drenaje, macetas de jardín para viveros, bandejas de inicio de semillas",8556,"Entrega por CLP 13,425 el mié, 25 de feb",Amazon,11-02-2026
"Amazon Basics Maceta redonda de cerámica acanalada, 8 pulgadas, color blanco",28077,"Entrega por CLP 28,377 el jue, 26 de feb",Amazon,11-02-2026
"Ton Sin Macetas de Cerámica de Oro Rosa para Flores, Macetas Pequeñas Esmaltadas para Suculentas de 4""+5""+6"" Pulgadas con Agujero de Drenaje, Macetas Modernas Decorativas de Interior Juego de 3",22281,"Entrega por CLP 18,972 entre el 20 de feb - 6 de mar",Amazon,11-02-2026
"60 unidades de macetas de vivero transparentes de 3.5/4/5/6/7 pulgadas con orificio de drenaje, tamaños variados, macetas transparentes de plástico para inicio de semillas, para plantas con",21424,"Entrega por CLP 19,538 el vie, 27 de feb",Amazon,11-02-2026
"Macetas de 10 pulgadas para interiores y exteriores, paquete de 4 macetas de plástico para plantas de interior con agujeros de drenaje y bandejas, juegos de contenedores decorativos de resina",19709,"Entrega por CLP 21,072 el mié, 25 de feb",Amazon,11-02-2026
"Paquete de 30 macetas transparentes para plantas de vivero, maceta de plástico de alta transparencia de 3.5/4/5 pulgadas con agujeros de drenaje, incluye 20 etiquetas",8127,"Entrega por CLP 12,568 el mié, 25 de feb",Amazon,11-02-2026
"LE TAUCI Maceta para Plantas de 10 Pulgadas, Macetas de Cerámica para Plantas con Orificio de Drenaje y Tapón de Goma, Macetas para Plantas de Interior para Hogar Jardín Patio Oficina, Maceta",42856,"Entrega por CLP 42,625 el jue, 26 de feb",Amazon,11-02-2026
"LE TAUCI Macetas de cerámica, 4.3+5.3+6.8 pulgadas, juego de 3, macetas con orificio de drenaje y platillo, maceta de interior con almohadilla de malla de agujero, regalos para mamá, color blanco",24424,"Entrega GRATIS el mié, 25 de feb a Chile en US$49 (CLP 42,008) de artículos elegibles",Amazon,11-02-2026
"Macetas, macetas de cerámica vintage para plantas de interior, macetas de 6.29 pulgadas con drenaje, florero y macetas de lavanda de campo francés, decoración antigua de habitación del",18852,"Entrega por CLP 32,046 el mié, 25 de feb",Amazon,11-02-2026
"VIVOSUN 50 macetas de plástico de 6 pulgadas, maceta de inicio de semillas, contenedor de plantas de flores para plántulas, esquejes, trasplantes",21424,"Entrega por CLP 27,648 el mié, 25 de feb",Amazon,11-02-2026
"Deep Dream - Macetas de 6 Pulgadas - Maceta de Cerámica con Orificio de Drenaje y Platillo, Maceta Redonda para Suculentas, Lengua de Suegra y Cactus de Interior y Exterior, Azul",17137,"Entrega por CLP 17,712 el mié, 25 de feb",Amazon,11-02-2026
Creative Co-Op - Maceta grande de cerámica blanca mate con relieve,84864,"Entrega por CLP 61,854 el jue, 26 de feb",Amazon,11-02-2026
"LINZINAR Soporte para plantas de interior de 4 niveles y 5 macetas múltiples soportes para plantas para jardín, esquina, balcón, sala de estar, color negro",17995,"Entrega por CLP 22,376 el mié, 25 de feb",Amazon,11-02-2026
,,,Amazon,11-02-2026
,,,Amazon,11-02-2026
