Producto,Precio,Precio envio,Tienda,Fecha
"Macetas WEICHENGXING, 12/10/9/8/ Pulgadas Grandes Macetas de Plástico Auto-Riego para Plantas de Interior y Exterior con Agujeros de Drenaje, Depósito Profundo, Maceta de Plantación para Vivero para",28568,"Entrega por CLP 27,555 el mié, 4 de mar",Amazon,18-02-2026
"Paquete de 120 Macetas de Vivero de 4 Pulgadas para Plantas, Macetas de Plástico Iniciadoras de Semillas con Agujeros de Drenaje, Pequeñas Macetas de Plástico para Suculentas, Plántulas, Corte",9517,"Entrega por CLP 13,769 entre el 2 - 9 de mar",Amazon,18-02-2026
"Paquete de 10 macetas de 6 pulgadas con drenaje y platillos, macetas de plástico negro para plantas de interior y exterior, macetas apilables para plantas de interior y hierbas, color negro",14799,"Entrega por CLP 15,258 el mié, 4 de mar",Amazon,18-02-2026
"110 piezas de macetas pequeñas de plástico, macetas de 4 pulgadas con drenaje, macetas de inicio para plántulas de plantas, ideales para hierbas, esquejes y plantas de inicio",8651,"Entrega por CLP 13,492 entre el 2 - 9 de mar",Amazon,18-02-2026
"-Macetas de riego automático para interiores con agujeros de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, color negro, 6 macetas",17302,"Entrega por CLP 18,471 el mié, 4 de mar",Amazon,18-02-2026
"Juego de 20 macetas de vivero transparentes de 10/12,7/15,2/17,8 cm con platillos, macetas de plástico con agujeros de drenaje, paquete variado de macetas de jardín para plántulas para",18176,"Entrega por CLP 17,120 el mié, 4 de mar",Amazon,18-02-2026
"Macetas para Plantas de 10/9/8/7.5/7 Pulgadas con Autoriego, Juego de 5 Macetas de Plástico con Agujeros de Drenaje y Platillos, Macetas de Flores de Plástico, Maceta de Vivero para Plantas de",23372,"Entrega por CLP 23,944 el mié, 4 de mar",Amazon,18-02-2026
"Paquete de 10 macetas de 6 pulgadas con drenaje y platillos, macetas de plástico negro para plantas de interior y exterior, macetas apilables para plantas de interior y hierbas, color negro",14799,"Entrega por CLP 15,258 el mié, 4 de mar",Amazon,18-02-2026
"Juego de 2 macetas de cerámica para plantas de interior, macetas vintage de flores de 4.7+5.7 pulgadas sin agujero de drenaje, juego de macetas marrones rústicas, macetas decorativas para plantas de",22064,"Entrega GRATIS el mié, 4 de mar a Chile en US$49 (CLP 42,432) de artículos elegibles",Amazon,18-02-2026
"Macetas WEICHENGXING, 12/10/9/8/ Pulgadas Grandes Macetas de Plástico Auto-Riego para Plantas de Interior y Exterior con Agujeros de Drenaje, Depósito Profundo, Maceta de Plantación para Vivero para",28568,"Entrega por CLP 27,555 el mié, 4 de mar",Amazon,18-02-2026
,,,Amazon,18-02-2026
,,,Amazon,18-02-2026
Macetas de interior con platillo y drenaje - Paquete de 6 macetas - Macetas de plástico para plantas de interior - Tamaños de 7.5/6.6/5.8/5.0/4.3/3.5 pulgadas para todo tipo de plantas,7265,"Entrega por CLP 16,574 entre el 2 - 9 de mar",Amazon,18-02-2026
"Kante - Maceta redonda de hormigón desgastado de 18 pulgadas de diámetro, maceta grande para interiores y exteriores con agujero de drenaje y tapón de goma para patio y jardín del hogar, hormigón",58876,"Entrega por CLP 143,358",Amazon,18-02-2026
"Macetas con autorriego para interior con orificios de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, Verde, 6 macetas.",17293,"Entrega por CLP 18,341 el mié, 4 de mar",Amazon,18-02-2026
"Amazon Basics Maceta redonda de cerámica acanalada, 10 pulgadas, color negro",41678,"Entrega por CLP 55,403 el jue, 5 de mar",Amazon,18-02-2026
"Soporte para plantas de interior con luces de cultivo, estante grande de 55 pulgadas de alto con 7 niveles para plantas de interior, estante en forma de jarrón, soporte para macetas",57144,"Entrega por CLP 41,652 el mié, 4 de mar",Amazon,18-02-2026
"Paquete de 9 bolsas de cultivo a granel, macetas de tela gruesa de alta resistencia, bolsas para plantas no tejidas con asas, contenedores transpirables para cultivo de plantas, bolsas para",22506,"Entrega por CLP 23,078 el jue, 5 de mar",Amazon,18-02-2026
"Juego de 2 macetas altas de riego automático, macetas grandes de 24 pulgadas con indicador de nivel de agua para plantas de interior y exterior, macetas modernas para jardín, patio, balcón",77927,"Entrega por CLP 86,292 el jue, 5 de mar",Amazon,18-02-2026
"Gepege Juego de 2 macetas de cerámica con cuentas de 6 pulgadas con orificio de drenaje y platillo para plantas, maceta redonda grande para orquídeas suculentas para interiores y exteriores, color",21640,"Entrega por CLP 21,069 el mié, 4 de mar",Amazon,18-02-2026
"Macetas de riego automático de 8/10/12 pulgadas para plantas de interior/exterior - Maceta grande de plástico con agujeros de drenaje, indicador de nivel de agua y reservorio profundo",25104,"Entrega por CLP 25,658 el mié, 4 de mar",Amazon,18-02-2026
"-Macetas de riego automático para interiores con agujeros de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, color blanco, 6 macetas",17302,"Entrega por CLP 18,254 el mié, 4 de mar",Amazon,18-02-2026
"Keter Juego de 2 macetas de resina modernas para exteriores de 22 pulgadas de alto, macetas de aspecto de madera cónica para plantas al aire libre y decoración de porche delantero, grafito",43280,"Entrega por CLP 139,678 el jue, 5 de mar",Amazon,18-02-2026
"Juego de 3 macetas de pared de cerámica con ganchos, maceta colgante para vegetación y flores secas, decoración de pared para el hogar y la oficina",43254,Entrega GRATIS entre el 2 - 9 de mar a Chile,Amazon,18-02-2026
"Macetas de cerámica. Macetas para plantas. Macetas con agujeros de drenaje y platillos para plantas de interior. 5.5 pulgadas de ancho, 4.3 pulgadas de profundidad. Juego de 2.",25978,"Entrega por CLP 19,267 el mié, 4 de mar",Amazon,18-02-2026
"Juego de macetas colgantes de riego automático de 4 a 8 pulgadas para interiores y exteriores, macetas colgantes con drenaje y bandeja extraíble, soporte para macetas colgantes para hiedra",18176,"Entrega por CLP 16,791 el mié, 4 de mar",Amazon,18-02-2026
"Juego de dos macetas colgantes de gran tamaño de 13 pulgadas, macetas para plantas de interior y exterior. Coloca macetas en diversos entornos, incluidos alféizares, sala de estar y jardines",25970,"Entrega por CLP 29,685 entre el 6 - 30 de mar",Amazon,18-02-2026
Macetas Vogue de Classic Home & Garden con acabado de calidad cerámica - Macetas modernas para interiores y exteriores - Macetas para porche resistentes a los rayos UV - Maceta decorativa para flores,12981,"Entrega por CLP 16,436 el mié, 4 de mar",Amazon,18-02-2026
"Macetas de 6 pulgadas, paquete de 5 macetas para exteriores e interiores, macetas con agujeros de drenaje y platillos de bandeja (multicolor)",15578,"Entrega por CLP 15,890 el mié, 4 de mar",Amazon,18-02-2026
"Juego de 3 macetas de cerámica de 6.75/5.6/4.2 pulgadas con agujeros de drenaje y platillo, maceta para exteriores e interiores, macetas decorativas modernas para plantas de casa, jardín",17310,"Entrega por CLP 18,990 el mié, 4 de mar",Amazon,18-02-2026
"RAOOKIF Paquete de 100 macetas de guardería, macetas de 4, 5 y 6 pulgadas para plantas, macetas de plástico con agujeros de drenaje, macetas de jardín para trasplantar, suculentas, esquejes, plántulas",8651,"Entrega por CLP 14,366 entre el 2 - 9 de mar",Amazon,18-02-2026
"Anyumocz 60 piezas de 1 galón de macetas flexibles para vivero de plantas, maceta de plántula de plástico suave y engrosado con agujeros, contenedor de plantas de flores para suculentas, esquejes",12946,"Entrega por CLP 22,497 el mié, 4 de mar",Amazon,18-02-2026
"Macetas de 12/10/8 Pulgadas con Riego Automático para Plantas de Interior, Maceta Grande de Plástico para Plantas de Exterior, Maceta de Flores con Ventana de Nivel de Agua y Espacioso Reservorio",24238,"Entrega por CLP 27,035 el mié, 4 de mar",Amazon,18-02-2026
"Macetas para Plantas de 10/9/8/7.5/7 Pulgadas con Autoriego, Juego de 5 Macetas de Plástico con Agujeros de Drenaje y Platillos, Macetas de Flores de Plástico, Maceta de Vivero para Plantas de",23372,"Entrega por CLP 23,329 el mié, 4 de mar",Amazon,18-02-2026
"Maceta de cerámica con orificio de drenaje y platillo, redonda, esmaltada, moderna, para suculentas, lengua de suegra (sansevieria), plantas de interior y exterior, 6 pulgadas",14704,"Entrega por CLP 16,782 el mié, 4 de mar",Amazon,18-02-2026
"Macetas de cerámica toscana, macetas vintage de 6.11 pulgadas con orificio de drenaje para plantas de interior, jarrón verde de granja y macetas, decoración del hogar, cocina, jardín",19908,"Entrega por CLP 15,475 el mié, 4 de mar",Amazon,18-02-2026
"Lifemaster - Macetas con múltiples orificios de drenaje, 5 piezas, de plástico, resistentes y versátiles, apilables, para decoración del hogar, jardinería interior y exterior, color negro",6200,"Entrega por CLP 15,760 el mié, 4 de mar",Amazon,18-02-2026
