Nombre,Precio,Precio envio,Tienda,Fecha
"Patrocinado 
FAMILY Paquete de 20 macetas de arcilla terracota de 3.15 pulgadas, mini macetas transpirables y pintables para interiores para niños y adultos",17305,Entrega por CLP 20456 el mié 11 de mar,Amazon,27-02-2026
"Patrocinado 
GARDIFE Paquete de 20 macetas de 4 pulgadas, macetas para plantas de interior, macetas, color",16439,Entrega GRATIS el mié 11 de mar a Chile en US$49 (CLP 42418) de artículos elegibles,Amazon,27-02-2026
"Patrocinado 
Paquete de 48 macetas de plástico de 4 pulgadas, juego de macetas de interior de plántulas gruesas, macetas de inicio de semillas con agujeros de drenaje, platillos, mini herramientas de jardín",23364,Entrega por CLP 21235 el mié 11 de mar,Amazon,27-02-2026
"Patrocinado 
Macetas de Vivero de Plástico de 6 pulgadas, Paquete de 16 Macetas para Plantas Pequeñas de Interior y Exterior, Macetas con Agujeros de Drenaje y Platillos, Macetas Decorativas de Inicio de",18906,Entrega por CLP 18248 el vie 13 de mar,Amazon,27-02-2026
Utopia Home Macetas para plantas de interior con agujeros de drenaje – Juego de 5 macetas de flores de plástico blanco (7/6.6/6/5.3/4.8 pulgadas) – Macetas modernas para plantas de interior,11245,Entrega por CLP 16257 el vie 13 de mar,Amazon,27-02-2026
"-Macetas de riego automático para interiores con agujeros de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, color negro, 6 macetas",17305,Entrega por CLP 18465 el mié 11 de mar,Amazon,27-02-2026
"Keter Juego de 2 macetas de resina modernas para exteriores de 22 pulgadas de alto, macetas de aspecto de madera cónica para plantas al aire libre y decoración de porche delantero, grafito",43266,Entrega por CLP 139633 entre el 9 - 20 de mar,Amazon,27-02-2026
"Paquete de 48 macetas de plástico de 4 pulgadas, juego de macetas de interior de plántulas gruesas, macetas de inicio de semillas con agujeros de drenaje, platillos, mini herramientas de jardín",23364,Entrega por CLP 21235 el mié 11 de mar,Amazon,27-02-2026
"Paquete de 36 macetas de plástico de 4 pulgadas con platillos, macetas de flores coloridas, macetas de inicio de semillas, macetas engrosadas, macetas de vivero para el hogar, jardín, flores",19902,Entrega por CLP 18447 el mié 11 de mar,Amazon,27-02-2026
"Macetas de Vivero de Plástico de 6 pulgadas, Paquete de 16 Macetas para Plantas Pequeñas de Interior y Exterior, Macetas con Agujeros de Drenaje y Platillos, Macetas Decorativas de Inicio de",18906,Entrega por CLP 18248 el vie 13 de mar,Amazon,27-02-2026
"FAMILY Paquete de 20 macetas de arcilla terracota de 3.15 pulgadas, mini macetas transpirables y pintables para interiores para niños y adultos",17305,Entrega por CLP 20456 el mié 11 de mar,Amazon,27-02-2026
"Paquete de 10 macetas de 6 pulgadas con drenaje y platillos, macetas de plástico blancas para plantas de interior y exterior, macetas de vivero apilables para plantas de interior y hierbas, color",14708,Entrega GRATIS el mié 11 de mar a Chile en US$49 (CLP 42418) de artículos elegibles,Amazon,27-02-2026
"RAOOKIF Paquete de 100 macetas de guardería, macetas de 4, 5 y 6 pulgadas para plantas, macetas de plástico con agujeros de drenaje, macetas de jardín para trasplantar, suculentas, esquejes, plántulas",7782,Entrega por CLP 14361 el jue 12 de mar,Amazon,27-02-2026
"Anyumocz 60 piezas de 1 galón de macetas flexibles para vivero de plantas, maceta de plántula de plástico suave y engrosado con agujeros, contenedor de plantas de flores para suculentas, esquejes",12942,Entrega por CLP 22490 el vie 13 de mar,Amazon,27-02-2026
"Juego de 20 macetas de vivero transparentes de 10/12,7/15,2/17,8 cm con platillos, macetas de plástico con agujeros de drenaje, paquete variado de macetas de jardín para plántulas para",18170,Entrega por CLP 17114 entre el 9 - 23 de mar,Amazon,27-02-2026
"Destacados de marcas de Amazon 
Amazon Basics Macetas redondas de cerámica acanalada de varios tamaños para interiores y exteriores con drenaje, juego de 3, diseño moderno, 6 pulgadas, 8 pulgadas, 10 pulgadas, color blanco",60346,Entrega por CLP 45214 el vie 13 de mar,Amazon,27-02-2026
"Patrocinado 
100 macetas de 2 galones, maceta de plástico para plantar semillas, macetas de plántulas de flores con agujeros de drenaje, contenedor flexible para interiores y exteriores, jardín, césped, patio",48469,Entrega por CLP 32584 el mié 11 de mar,Amazon,27-02-2026
"Patrocinado 
Paquete de 36 macetas de plástico de 4 pulgadas con platillos, macetas de flores coloridas, macetas de inicio de semillas, macetas engrosadas, macetas de vivero para el hogar, jardín, flores",19902,Entrega por CLP 18447 el mié 11 de mar,Amazon,27-02-2026
"Patrocinado 
Paquete de 50 bolsas de cultivo de tela con asas, macetas de cultivo de aireación, bolsas para plantas de jardín, plantas y verduras, color negro (7 galones)",51066,Entrega por CLP 33268 entre el 9 - 18 de mar,Amazon,27-02-2026
"Gepege Juego de 2 macetas de cerámica con cuentas de 6 pulgadas con orificio de drenaje y platillo para plantas, maceta redonda grande para orquídeas suculentas para interiores y exteriores, color",21633,Entrega por CLP 21062 el mié 11 de mar,Amazon,27-02-2026
"Macetas WEICHENGXING, 12/10/9/8/ Pulgadas Grandes Macetas de Plástico Auto-Riego para Plantas de Interior y Exterior con Agujeros de Drenaje, Depósito Profundo, Maceta de Plantación para Vivero para",22802,Entrega por CLP 27546 el mié 11 de mar,Amazon,27-02-2026
Macetas Vogue de Classic Home & Garden con acabado de calidad cerámica - Macetas modernas para interiores y exteriores - Macetas para porche resistentes a los rayos UV - Maceta decorativa para flores,12976,Entrega por CLP 16430 el mié 11 de mar,Amazon,27-02-2026
"Macetas de 4 Pulgadas, Juego de 6 Macetas de Interior, Macetas con Agujeros de Drenaje y Bandejas para Orquídeas, Violetas, Suculentas, Hierbas y Otras Plantas, Coloridas",7782,Entrega por CLP 12163 el mié 11 de mar,Amazon,27-02-2026
"Patrocinado 
1000 macetas de 4 pulgadas para vivero, macetas de plástico a granel con agujeros de drenaje para plantas, suculentas, plántulas, esquejes de trasplante",44141,Entrega por CLP 33874 el vie 13 de mar,Amazon,27-02-2026
"Patrocinado 
Macetas para plantas, paquete de 12 macetas modernas de plástico de 6 pulgadas con agujeros de drenaje y platillos para plantas y flores de interior y exterior, color blanco",17305,Entrega por CLP 17114 el mié 11 de mar,Amazon,27-02-2026
"Patrocinado 
Paquete de 10 macetas de 6 pulgadas con drenaje y platillos, macetas de plástico blancas para plantas de interior y exterior, macetas de vivero apilables para plantas de interior y hierbas, color",14708,Entrega GRATIS el mié 11 de mar a Chile en US$49 (CLP 42418) de artículos elegibles,Amazon,27-02-2026
"Patrocinado 
BN-LINK Paquete de 5 bolsas de cultivo de 5 galones, macetas de tela de aireación resistentes con asas, bolsas de cultivo de tela no tejida engrosadas para vegetales, flores, frutas",11245,Entrega por CLP 13903 entre el 9 - 16 de mar,Amazon,27-02-2026
"Macetas de 12/10/8 Pulgadas con Riego Automático para Plantas de Interior, Maceta Grande de Plástico para Plantas de Exterior, Maceta de Flores con Ventana de Nivel de Agua y Espacioso Reservorio",24230,Entrega por CLP 27026 el mié 11 de mar,Amazon,27-02-2026
"Macetas con autorriego para interior con orificios de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, Verde, 6 macetas.",17305,Entrega por CLP 18335 el mié 11 de mar,Amazon,27-02-2026
"MIXC Macetas de vivero engrosadas transparentes con base de silicona para fácil trasplante, 30 paquetes de 4 pulgadas, maceta transparente reutilizable para plántulas de vegetales, esquejes de raíz",17261,Entrega GRATIS el mié 11 de mar a Chile en US$49 (CLP 42418) de artículos elegibles,Amazon,27-02-2026
"Juego de 3 macetas de cerámica de 6.75/5.6/4.2 pulgadas con agujeros de drenaje y platillo, maceta para exteriores e interiores, macetas decorativas modernas para plantas de casa, jardín",17305,Entrega por CLP 18984 el mié 11 de mar,Amazon,27-02-2026
"-Macetas de riego automático para interiores con agujeros de drenaje y platillos, 8, 7, 6.5, 6, 5.5, 5 pulgadas, color blanco, 6 macetas",17305,Entrega por CLP 18248 el mié 11 de mar,Amazon,27-02-2026
"Macetas de riego automático de 8/10/12 pulgadas para plantas de interior/exterior - Maceta grande de plástico con agujeros de drenaje, indicador de nivel de agua y reservorio profundo",25096,Entrega por CLP 25650 el vie 13 de mar,Amazon,27-02-2026
"36 paquetes de macetas de vivero reforzadas transparentes de 6.7/5/4/3.5 pulgadas con orificio de drenaje, paquete de variedad transparente de macetas de plástico para plántulas para",17893,Entrega por CLP 17478 el mié 11 de mar,Amazon,27-02-2026
"LE TAUCI Macetas de 12 pulgadas para plantas, macetas de cerámica con agujeros de drenaje y platillos, maceta grande elegante y duradera, perfecta para decoración del hogar y la oficina, color blanco",60580,Entrega por CLP 56745 el vie 13 de mar,Amazon,27-02-2026
"LE TAUCI Macetas de 4.1 + 5.1 + 6.5 pulgadas, juego de 3, macetas de cerámica con orificio de drenaje y platillo, maceta de interior con almohadilla de malla de agujero, regalos para mamá, esmalte",25953,Entrega por CLP 25364 el mié 11 de mar,Amazon,27-02-2026
"Macetas para Plantas de 10/9/8/7.5/7 Pulgadas con Autoriego, Juego de 5 Macetas de Plástico con Agujeros de Drenaje y Platillos, Macetas de Flores de Plástico, Maceta de Vivero para Plantas de",23364,Entrega por CLP 23321 el mié 11 de mar,Amazon,27-02-2026
"Maceta de cerámica con orificio de drenaje y platillo, redonda, esmaltada, moderna, para suculentas, lengua de suegra (sansevieria), plantas de interior y exterior, 6 pulgadas",14699,Entrega por CLP 16777 el mié 11 de mar,Amazon,27-02-2026
"Macetas de cerámica toscana, macetas vintage de 6.11 pulgadas con orificio de drenaje para plantas de interior, jarrón verde de granja y macetas, decoración del hogar, cocina, jardín",19902,Entrega por CLP 15383 el mié 11 de mar,Amazon,27-02-2026
Classic Home and Garden Rosie - Maceta moderna con drenaje - Cuencos de macetas contemporáneos - Jarrones redondos poco profundos para plantas pequeñas - Macetas versátiles para interiores y,15539,Entrega por CLP 17521 el jue 12 de mar,Amazon,27-02-2026
"Orceler Macetas de terracota y arcilla de 6 pulgadas para plantas con platillo, macetas medianas de terracota con orificio de drenaje, maceta con bandeja, maceta de terracota para plantas de interior",16500,Entrega por CLP 23503 entre el 9 - 18 de mar,Amazon,27-02-2026
"DeeCoo Juego de 3 macetas de cerámica para interiores con agujeros de drenaje, 5.7/4.7/3.5/pulgadas, macetas decorativas modernas para plantas al aire libre, lirios, cactus, suculentas, serpientes y",16439,Entrega por CLP 27329 el mié 11 de mar,Amazon,27-02-2026
"Paquete de 30 macetas de plástico de 5 galones, macetas suaves de 12.8 pulgadas de grosor con agujeros de drenaje, contenedor de flores para plantas de semillero, jardín, interior y exterior",43275,Entrega por CLP 48105 el vie 13 de mar,Amazon,27-02-2026
"Paquete de 5 macetas con drenaje de 7/6.5/6/5.5/5 pulgadas, macetas de riego automático para plantas de interior, macetas para plantas de interior y exterior, maceta de plástico, maceta para",11236,Entrega GRATIS el mié 11 de mar a Chile en US$49 (CLP 42418) de artículos elegibles,Amazon,27-02-2026
"VIVOSUN Paquete de 5 bolsas de cultivo de plantas de 7 galones, macetas de tela no tejida gruesa resistente con asas",14015,Entrega por CLP 13790 el mié 11 de mar,Amazon,27-02-2026
"LE TAUCI Maceta para Plantas de 10 Pulgadas, Macetas de Cerámica para Plantas con Orificio de Drenaje y Tapón de Goma, Macetas para Plantas de Interior para Hogar Jardín Patio Oficina, Maceta",45872,Entrega por CLP 43041 el vie 13 de mar,Amazon,27-02-2026
Macetas de interior con platillos y drenaje - Paquete de 6 macetas de flores - Maceteros de plástico para plantas de interior - Tamaños de 7.5/6.6/5.8/5.0/4.3/3.5 pulgadas para todos los,11245,Entrega por CLP 16093 el vie 13 de mar,Amazon,27-02-2026
"Maceta para exteriores con diseño de celosía - Maceta cuadrada de 14.75 pulgadas, 13 pulgadas de alto, maceta blanca para plantas - Macetas decorativas para decoración de porche delantero - Macetas al",17469,Entrega por CLP 23901 el vie 13 de mar,Amazon,27-02-2026
"Paquete de 28 macetas pequeñas de 4 pulgadas, macetas de plástico con agujeros de drenaje y platillos para flores, plantas, suculentas, macetas de inicio de semillas, color blanco",14708,Entrega por CLP 14154 el mié 11 de mar,Amazon,27-02-2026
"Paquete de 6 macetas de terracota y arcilla de 6 pulgadas con platillo para plantas, maceta grande de terracota con orificio de drenaje, maceta para plantas de interior y exterior",17305,Entrega por CLP 26273 el mié 11 de mar,Amazon,27-02-2026
"Lindas macetas de cerámica para suculentas, maceta con drenaje y platillo adjunto, juego de 5 plantas no incluidas (redonda)",19902,Entrega GRATIS el mié 11 de mar a Chile en US$49 (CLP 42418) de artículos elegibles,Amazon,27-02-2026
"Paquete de 10 macetas de 6 pulgadas con drenaje y platillos, macetas de plástico negro para plantas de interior y exterior, macetas apilables para plantas de interior y hierbas, color negro",15573,Entrega por CLP 15253 el mié 11 de mar,Amazon,27-02-2026
"Quarut Paquete de 3 macetas de 10 pulgadas, macetas de barril de whisky con agujeros de drenaje y platillo, macetas de plástico para decoración de flores con diseño de barril de vino imitación, para",22490,Entrega por CLP 21867 entre el 9 - 16 de mar,Amazon,27-02-2026
"CosmoLiving by Cosmopolitan - Maceta de metal para interiores y exteriores, maceta grande con soporte extraíble, juego de 2 macetas de 19 pulgadas, 22 pulgadas de alto, color dorado",52789,Entrega por CLP 81780 el jue 12 de mar,Amazon,27-02-2026
"Paquete de 30 macetas transparentes para plantas de vivero, maceta de plástico de alta transparencia de 3.5/4/5 pulgadas con agujeros de drenaje, incluye 20 etiquetas",8207,Entrega por CLP 12691 el mié 11 de mar,Amazon,27-02-2026
"Macetas de 6 pulgadas, paquete de 5 macetas para exteriores e interiores, macetas con agujeros de drenaje y platillos de bandeja (multicolor)",15573,Entrega por CLP 15885 el mié 11 de mar,Amazon,27-02-2026
The HC Companies Eclipse Maceta Redonda con Platillo - Maceta para Plantas de Exterior e Interior con Orificios de Drenaje - Macetas de Plástico Ligeras y Resistentes a los Rayos UV para Plantas,11133,Entrega por CLP 18387 entre el 16 de mar - 10 de abr,Amazon,27-02-2026
"Macetas de interior de 6 pulgadas con orificio de drenaje y platillo de bandeja, macetas para plantas y flores de jardín de interiores y exteriores, multicolor, 5 paquetes",10604,Entrega por CLP 15790 entre el 9 - 17 de mar,Amazon,27-02-2026
"Macetas de riego automático de 7/6.5/6/5.5/5 pulgadas, macetas de plástico con múltiples agujeros de drenaje de malla y depósito profundo para plantas y flores de jardín de interiores y",10379,Entrega por CLP 15253 entre el 9 - 16 de mar,Amazon,27-02-2026
"OJYUDD - Juego de 60 macetas flexibles de 1 galón para vivero de plantas, macetas de plástico suave y engrosadas para iniciar semillas, macetas de plástico con agujero para plántulas de flores",12959,Entrega por CLP 21936 entre el 9 - 20 de mar,Amazon,27-02-2026
"Docrin Juego de 2 macetas de cerámica (6.6 + 5.5 pulgadas), macetas de interior de arcilla alta con agujeros de drenaje y platillo, decoración moderna de panal para todas las plantas de la casa",19893,Entrega por CLP 22810 el mié 11 de mar,Amazon,27-02-2026
"VIVOSUN - Paquete de 5 bolsas de cultivo de 5 galones, macetas de tela no tejida gruesa de 300 g con asas",12457,Entrega por CLP 14578 el mié 11 de mar,Amazon,27-02-2026
"GARDIFE Paquete de 20 macetas de 4 pulgadas, macetas para plantas de interior, macetas, color",16439,Entrega GRATIS el mié 11 de mar a Chile en US$49 (CLP 42418) de artículos elegibles,Amazon,27-02-2026
"QCQHDU Maceta de 8 pulgadas, paquete de 2 macetas para plantas de interior con agujeros de drenaje y platillo, macetas para exteriores, decoración moderna para el hogar y el jardín",14708,Entrega por CLP 18681 el mié 11 de mar,Amazon,27-02-2026
"JERIA Paquete de 100 macetas de plástico de 4 pulgadas que vienen con 100 etiquetas para plantas, contenedor de plantas de flores de plántulas y macetas de inicio de semillas",8648,Entrega por CLP 12873 el mié 11 de mar,Amazon,27-02-2026
"Macetas de Vivero de Plástico de 6 pulgadas, Paquete de 16 Macetas para Plantas Pequeñas de Interior y Exterior, Macetas con Agujeros de Drenaje y Platillos, Macetas Decorativas de Inicio de",18906,Entrega por CLP 18248 el vie 13 de mar,Amazon,27-02-2026
"Paquete de 48 macetas de plástico de 4 pulgadas, juego de macetas de interior de plántulas gruesas, macetas de inicio de semillas con agujeros de drenaje, platillos, mini herramientas de jardín",23364,Entrega por CLP 21235 el mié 11 de mar,Amazon,27-02-2026
